"N" "nteeth" "ntime" "truealpha0" "truealpha1" "truealpha2" "truealpha3" "truebeta0" "truebeta1" "truebeta2" "truebeta3" "truenu" "truetau" "truerho" "prob_dropout" "variable" "value" "truth" "var"
500 28 6 2 "-0.5" 0 -2 -3 1 1.5 0.5 0.5 0.4 0.4 0.485895142424659 "rrzcwbeta3relbias" -0.03287447288635 "-0.5" "alpha3-2"
500 28 6 2 "0" 0 -2 -3 1 1.5 0.5 0.5 0.4 0.4 0.546917271821159 "ccbeta3relbias" 1.45035113026082 "0" "alpha3-2"
500 28 6 2 "-2" 0 0 -3 1 1.5 0.5 0.5 0.4 0.4 0.320839791461181 "rrzcwbeta3relbias" -1.13392344745646 "-2" "alpha30"
500 28 6 2 "-1.5" 0 -1 -3 1 1.5 0.5 0.5 0.4 0.4 0.311613090066609 "ccbeta3relbias" 0.093350281817314 "-1.5" "alpha3-1"
500 28 6 2 "-2" 0 0 -3 1 1.5 0.5 0.5 0.4 0.4 0.327845382963493 "bbdcwbeta3relbias" -0.37748897566316 "-2" "alpha30"
500 28 6 2 "-2" 0 -1 -3 1 1.5 0.5 0.5 0.4 0.4 0.290645879732739 "cwbeta3relbias" -0.677555703455388 "-2" "alpha3-1"
500 28 6 2 "-1" 0 -2 -3 1 1.5 0.5 0.5 0.4 0.4 0.435199770872118 "bbdcwbeta3relbias" 0.115774958401532 "-1" "alpha3-2"
500 28 6 2 "-1" 0 -1 -3 1 1.5 0.5 0.5 0.4 0.4 0.335352112676056 "cwbeta3relbias" 0.0438508594112961 "-1" "alpha3-1"
500 28 6 2 "-1.5" 0 0 -3 1 1.5 0.5 0.5 0.4 0.4 0.315403077791896 "ccbeta3relbias" 0.684319671715792 "-1.5" "alpha30"
500 28 6 2 "-2" 0 -2 -3 1 1.5 0.5 0.5 0.4 0.4 0.366805336393631 "rrzcwbeta3relbias" 0.093947822827688 "-2" "alpha3-2"
500 28 6 2 "-1.5" 0 -1 -3 1 1.5 0.5 0.5 0.4 0.4 0.293101045296167 "ccbeta3relbias" -0.30205255492788 "-1.5" "alpha3-1"
500 28 6 2 "-1" 0 0 -3 1 1.5 0.5 0.5 0.4 0.4 0.336381269049598 "ccbeta3relbias" 0.235871420562074 "-1" "alpha30"
500 28 6 2 "-0.5" 0 -1 -3 1 1.5 0.5 0.5 0.4 0.4 0.383634279163084 "ccbeta3relbias" -0.872840475726985 "-0.5" "alpha3-1"
500 28 6 2 "-0.5" 0 -2 -3 1 1.5 0.5 0.5 0.4 0.4 0.469977233921457 "bbdcwbeta3relbias" -0.889290526662771 "-0.5" "alpha3-2"
500 28 6 2 "-1" 0 -1 -3 1 1.5 0.5 0.5 0.4 0.4 0.34233199310741 "bbdcwbeta3relbias" -0.173701147175344 "-1" "alpha3-1"
500 28 6 2 "0" 0 -2 -3 1 1.5 0.5 0.5 0.4 0.4 0.549601737871108 "ccbeta3relbias" 0.640428927852788 "0" "alpha3-2"
500 28 6 2 "-2" 0 -2 -3 1 1.5 0.5 0.5 0.4 0.4 0.345374071958881 "ccbeta3relbias" 0.272449798463596 "-2" "alpha3-2"
500 28 6 2 "-1.5" 0 -1 -3 1 1.5 0.5 0.5 0.4 0.4 0.295824992851015 "rrzcwbeta3relbias" 0.18483335929521 "-1.5" "alpha3-1"
500 28 6 2 "-2" 0 0 -3 1 1.5 0.5 0.5 0.4 0.4 0.327285513361463 "cwbeta3relbias" -0.402906397947754 "-2" "alpha30"
500 28 6 2 "-1" 0 -1 -3 1 1.5 0.5 0.5 0.4 0.4 0.350094189247935 "cwbeta3relbias" -0.730120318924108 "-1" "alpha3-1"
500 28 6 2 "-1" 0 -2 -3 1 1.5 0.5 0.5 0.4 0.4 0.442456684040006 "ccbeta3relbias" 0.0745962732893739 "-1" "alpha3-2"
500 28 6 2 "-0.5" 0 -1 -3 1 1.5 0.5 0.5 0.4 0.4 0.399914700028433 "ccbeta3relbias" -1.00196874271912 "-0.5" "alpha3-1"
500 28 6 2 "-1" 0 -2 -3 1 1.5 0.5 0.5 0.4 0.4 0.409716251074807 "cwbeta3relbias" 1.26242738403064 "-1" "alpha3-2"
500 28 6 2 "-2" 0 -1 -3 1 1.5 0.5 0.5 0.4 0.4 0.299727910640126 "cwbeta3relbias" -0.750546675043038 "-2" "alpha3-1"
500 28 6 2 "-2" 0 0 -3 1 1.5 0.5 0.5 0.4 0.4 0.329025007024445 "cwbeta3relbias" -0.240540128729148 "-2" "alpha30"
500 28 6 2 "-2" 0 -1 -3 1 1.5 0.5 0.5 0.4 0.4 0.314124783362218 "cwbeta3relbias" -0.76270429765373 "-2" "alpha3-1"
500 28 6 2 "-1" 0 -2 -3 1 1.5 0.5 0.5 0.4 0.4 0.410673187571922 "bbdcwbeta3relbias" 0.59539156117592 "-1" "alpha3-2"
500 28 6 2 "-0.5" 0 -1 -3 1 1.5 0.5 0.5 0.4 0.4 0.392131979695431 "bbdcwbeta3relbias" -0.299667646310734 "-0.5" "alpha3-1"
500 28 6 2 "-1" 0 -1 -3 1 1.5 0.5 0.5 0.4 0.4 0.346266471449488 "rrzcwbeta3relbias" 0.596881909430612 "-1" "alpha3-1"
500 28 6 2 "-1" 0 0 -3 1 1.5 0.5 0.5 0.4 0.4 0.325574873808188 "ccbeta3relbias" -0.314726358244138 "-1" "alpha30"
500 28 6 2 "-1.5" 0 -1 -3 1 1.5 0.5 0.5 0.4 0.4 0.301381818181818 "cwbeta3relbias" 0.526551503213962 "-1.5" "alpha3-1"
500 28 6 2 "-1.5" 0 -2 -3 1 1.5 0.5 0.5 0.4 0.4 0.360769339555933 "cwbeta3relbias" 0.302960802528502 "-1.5" "alpha3-2"
500 28 6 2 "-1.5" 0 -2 -3 1 1.5 0.5 0.5 0.4 0.4 0.39334011923804 "bbdcwbeta3relbias" -0.250206986933806 "-1.5" "alpha3-2"
